text,label
"Congratulations! You've been selected as a winner! Claim your $1000 prize now! Click here to receive your reward immediately!",1
"Hi, I wanted to follow up on our meeting from yesterday. Can we schedule a call to discuss the project details?",0
"URGENT: You've won $5000! Don't miss this opportunity. Verify your details now to claim your prize!",1
"Thanks for sending the report. I've reviewed it and have a few questions. Can we discuss this afternoon?",0
"URGENT: Your account will be suspended in 24 hours! Verify your information immediately to avoid account closure!",1
"I'll be out of office next week. Please contact my colleague if you need anything urgent.",0
"Security Alert: Your account has been compromised! Click here to verify your identity and secure your account now!",1
"The presentation is ready for review. Please let me know if you'd like any changes before the meeting.",0
"Make $5000 a week from home! No experience needed! Start earning today with our proven system!",1
"I've attached the documents you requested. Let me know if you need anything else.",0
"Get rich quick! Earn $10000 monthly working from home. No investment required! Join now!",1
"Can we reschedule our meeting to next Tuesday? I have a conflict on the original date.",0
"Free money! No deposit required! Get instant cash by clicking here! Limited time offer!",1
"Thanks for your help with the project. Your input was very valuable.",0
"Amazing weight loss pill! Lose 30 pounds in 30 days! Order now and get 50% off!",1
"I wanted to check in and see how the project is progressing. Any updates?",0
"Miracle cure for all diseases! Doctors hate this one trick! Buy now before it's too late!",1
"The budget proposal has been approved. We can proceed with the next phase.",0
"Get approved for $50000 loan instantly! No credit check! Bad credit OK! Apply now!",1
"I've completed the analysis you requested. The results are in the attached spreadsheet.",0
"Double your money in 7 days! Guaranteed returns! Invest $1000 and get $2000 back!",1
"Hi, how are you doing? It's been a while since we last talked. Would love to catch up soon!",0
"Hot singles in your area want to meet you! Click here to chat with beautiful women!",1
"Thanks for the birthday wishes! I really appreciate it. Let's plan to meet up soon.",0
"Your computer is infected! Download our antivirus now to remove 47 viruses detected!",1
"I hope you're doing well. Just wanted to say hello and see how things are going.",0
"Amazing deal! 90% off designer watches! Limited stock! Order now before they're gone!",1
"Thanks for your help yesterday. I couldn't have done it without you!",0
"Act now! Limited time offer expires in 2 hours! Don't miss this opportunity!",1
"Are you free this weekend? I was thinking we could grab lunch and catch up.",0
"Congratulations! You are the lucky winner of our grand prize! Click the link below to claim your reward worth $2500!",1
"I saw the photos you posted. They look great! Where was that taken?",0
"Action Required: Your account needs immediate verification. Click the link below to prevent suspension!",1
"Thanks for the recommendation. I tried that restaurant and it was amazing!",0
"Earn $3000 weekly! Work from home, set your own hours. No skills needed! Sign up today!",1
"Happy holidays! Hope you're having a wonderful time with your family.",0
"URGENT: Suspicious activity detected on your account! Verify your details immediately to avoid permanent closure!",1
"I'm planning a small gathering next month. Would you like to join us?",0
"Instant loan approval! Get $25000 in your account today! No questions asked!",1
"Thanks for being such a great friend. I really appreciate everything you do.",0
"Cryptocurrency investment opportunity! 500% returns guaranteed! Invest now!",1
"Our monthly newsletter is now available. Check out the latest updates and news.",0
"Find your perfect match! Thousands of singles waiting! Sign up free today!",1
"We're excited to announce our new product launch. Learn more about the features.",0
"Windows Security Alert: Your PC has critical errors! Fix them now by clicking here!",1
"Thank you for subscribing to our newsletter. Here are this week's top stories.",0
"Flash sale! Get luxury items for 80% off! Only today! Don't miss out!",1
"Your order has been confirmed. You'll receive a shipping notification soon.",0
"Make money fast! Get $2000 in your account within 24 hours. No questions asked!",1
"Your payment was successfully processed. Thank you for your purchase.",0
"Get bigger and stronger! Our pills guarantee results in just 7 days! Order today!",1
"Your account password was changed. If this wasn't you, please contact support.",0
"Need cash fast? Get $10000 loan approved in minutes! No credit check required!",1
"Your subscription will renew on the 15th. You can manage your subscription anytime.",0
"Meet attractive singles tonight! No registration required! Click to start chatting!",1
"Your appointment is confirmed for next Tuesday at 2 PM. See you then!",0
"Stock market secret! Make $50000 in one week! Join our exclusive program!",1
"I've sent you a calendar invitation for our meeting next week. Please confirm if the time works.",0
"Virus detected on your computer! Install our software immediately to protect your data!",1
"The team meeting has been moved to Thursday at 3 PM. Please update your calendar.",0
"Reverse aging with our secret formula! Look 20 years younger! Limited stock available!",1
"Can we schedule a 30-minute call to discuss the proposal? What time works for you?",0
"Guaranteed loan approval! Get $50000 regardless of credit history! Apply immediately!",1
